city,country,lat,lon,year,month,t2m,precip
Tandil,AR,-37.32,-59.13,1997,8,8.36,2.1
Tandil,AR,-37.32,-59.13,1997,9,9.12,1.24
Tandil,AR,-37.32,-59.13,1997,10,12.87,5.97
Tandil,AR,-37.32,-59.13,1997,11,15.16,3.56
Tandil,AR,-37.32,-59.13,1997,12,17.49,2.55
Tandil,AR,-37.32,-59.13,1997,13,13.85,2.84
Tandil,AR,-37.32,-59.13,1998,1,20.28,4.16
Tandil,AR,-37.32,-59.13,1998,2,18.5,2.29
Tandil,AR,-37.32,-59.13,1998,3,17.53,1.29
Tandil,AR,-37.32,-59.13,1998,4,14.11,6.64
Tandil,AR,-37.32,-59.13,1998,5,10.63,0.91
Tandil,AR,-37.32,-59.13,1998,6,7.61,0.42
Tandil,AR,-37.32,-59.13,1998,7,8.69,0.51
Tandil,AR,-37.32,-59.13,1998,8,8.27,0.43
Tandil,AR,-37.32,-59.13,1998,9,9.62,4.7
Tandil,AR,-37.32,-59.13,1998,10,14.78,0.76
Tandil,AR,-37.32,-59.13,1998,11,17.46,1.8
Tandil,AR,-37.32,-59.13,1998,12,20.19,1.39
Tandil,AR,-37.32,-59.13,1998,13,13.95,2.09
Tandil,AR,-37.32,-59.13,1999,1,20.49,2.66
Tandil,AR,-37.32,-59.13,1999,2,20.87,1.66
Tandil,AR,-37.32,-59.13,1999,3,18.15,5.26
Tandil,AR,-37.32,-59.13,1999,4,12.38,1.12
Tandil,AR,-37.32,-59.13,1999,5,9.59,1.78
Tandil,AR,-37.32,-59.13,1999,6,6.08,0.51
Tandil,AR,-37.32,-59.13,1999,7,5.86,2.73
Tandil,AR,-37.32,-59.13,1999,8,8.36,1.51
Tandil,AR,-37.32,-59.13,1999,9,10.74,2.03
Tandil,AR,-37.32,-59.13,1999,10,13.42,2.18
Tandil,AR,-37.32,-59.13,1999,11,16.94,2.04
Tandil,AR,-37.32,-59.13,1999,12,20.16,2.95
Tandil,AR,-37.32,-59.13,1999,13,13.55,2.22
Tandil,AR,-37.32,-59.13,2000,1,22.98,2.85
Tandil,AR,-37.32,-59.13,2000,2,20.65,6.14
Tandil,AR,-37.32,-59.13,2000,3,16.78,3.7
Tandil,AR,-37.32,-59.13,2000,4,13.57,2.28
Tandil,AR,-37.32,-59.13,2000,5,9.68,1.51
Tandil,AR,-37.32,-59.13,2000,6,8.04,1.22
Tandil,AR,-37.32,-59.13,2000,7,4.43,0.64
Tandil,AR,-37.32,-59.13,2000,8,6.26,1.96
Tandil,AR,-37.32,-59.13,2000,9,9.12,2.67
Tandil,AR,-37.32,-59.13,2000,10,11.97,6.37
Tandil,AR,-37.32,-59.13,2000,11,14.58,0.93
Tandil,AR,-37.32,-59.13,2000,12,18.44,2.77
Tandil,AR,-37.32,-59.13,2000,13,13.02,2.75
Tandil,AR,-37.32,-59.13,2001,1,21.87,5.26
Tandil,AR,-37.32,-59.13,2001,2,22.52,3.74
Tandil,AR,-37.32,-59.13,2001,3,17.75,3.6
Tandil,AR,-37.32,-59.13,2001,4,12.91,3.16
Tandil,AR,-37.32,-59.13,2001,5,9.45,2.21
Tandil,AR,-37.32,-59.13,2001,6,7.2,3.81
Tandil,AR,-37.32,-59.13,2001,7,5.55,0.82
Tandil,AR,-37.32,-59.13,2001,8,9.66,4.42
Tandil,AR,-37.32,-59.13,2001,9,9.62,2.53
Tandil,AR,-37.32,-59.13,2001,10,13.98,3.93
Tandil,AR,-37.32,-59.13,2001,11,15.26,5.54
Tandil,AR,-37.32,-59.13,2001,12,18.56,4.24
Tandil,AR,-37.32,-59.13,2001,13,13.65,3.6
Tandil,AR,-37.32,-59.13,2002,1,20.73,2.04
Tandil,AR,-37.32,-59.13,2002,2,19.56,4.26
Tandil,AR,-37.32,-59.13,2002,3,16.44,6.49
Tandil,AR,-37.32,-59.13,2002,4,12.5,5.08
Tandil,AR,-37.32,-59.13,2002,5,10.49,4.37
Tandil,AR,-37.32,-59.13,2002,6,4.76,0.32
Tandil,AR,-37.32,-59.13,2002,7,5.71,1.67
Tandil,AR,-37.32,-59.13,2002,8,8.67,3.94
Tandil,AR,-37.32,-59.13,2002,9,9.55,2.14
Tandil,AR,-37.32,-59.13,2002,10,13.76,5.61
Tandil,AR,-37.32,-59.13,2002,11,16.11,5.31
Tandil,AR,-37.32,-59.13,2002,12,18.46,2.04
Tandil,AR,-37.32,-59.13,2002,13,13.03,3.6
Tandil,AR,-37.32,-59.13,2003,1,21.34,2.16
Tandil,AR,-37.32,-59.13,2003,2,20.38,3.56
Tandil,AR,-37.32,-59.13,2003,3,18.3,2.35
Tandil,AR,-37.32,-59.13,2003,4,12.6,3.28
Tandil,AR,-37.32,-59.13,2003,5,9.94,1.89
Tandil,AR,-37.32,-59.13,2003,6,7.68,0.48
